COMPANY 1	COMPANY 2	STREET	BUILDING	STREET2	POSTAL CODE	CITY DISTRICT	CITY	COUNTRY	CONTINENT	TELEPHONE 1	EMAIL 1	URL 1	ROOMS	STARS	GEO LATITUDE	GEO LONGITUDE
Hotel	Pinija	Ulica Maka Dizdara	1	Petrčane bb	23231	Petrčane	Zadar	Croatia	Europe	+385-23-202500	info@hotel-pinija.hr	www.hotel-pinija.hr	340	4	44.180014	15.158611000000001
Hotel	Alan	Ulica Dr. Franje Tuđmana	14		23244		Starigrad	Croatia	Europe	+385-23-209050	sales@bluesunhotels.com	www.bluesunhotels.com	163	3	44.28618	15.44856
Holiday Home	La Scaletta	Mate Balote	9		52210		Rovinj	Croatia	Europe	+39-0471-700042	info@albionhotel.net	www.albionhotel.net	1		45.0768127	13.640990500000044
Holiday Villa	Bella Villa Savicenta				52342		Svetvinčenat	Croatia	Europe				1		45.087327459203735	13.884626626968384
Youth Hostel	3 Arches (YMCA West)	King David Street	26		94101		Jerusalem	Israel	Asia	+972-2-6592692	reservation@ymca3arches.com	www.ymca.com	56	3	31.774407894187178	35.2217173576355
Aparthotel	Hillel 11	Hillel	11		94581		Jerusalem	Israel	Asia	+972-2-5402225	info@hillel11.com	www.hillel11.co.il	43	2	31.780290999999998	35.216825
Hotel	Sereno	Via Val di Canepa	96		16039		Sestri Levante	Italy	Europe	+39-0185-43303	info@hotel-sereno.com	www.hotel-sereno.com	10	3	44.26914474389873	9.40105140209198
Hotel	Livrio - Grande Livrio	Stilfserjoch			23032	Stilfserjoch	Bormio	Italy	Europe	+39-0473-904621	alberghicapitani@bormio.it	www.alberghicapitani.com	120	3	46.51099925674848	10.46670913696289
Hotel garni	Elisir	Campolongo-Paß	21	SS 224 - Campolungosattel	32020		Arabba	Italy	Europe	+39-0436-79145	info@hotelelisir.eu	www.hotelelisir.eu	14	3	46.51772	11.87226
Hotel	Adler	Piazza Centrale	2		38010		Andalo	Italy	Europe	+39-0461585828	info@adlerhotel.it	www.adlerhotel.it	70	3	46.1649792	11.0033009
BIO Vitalhotel	Theiner's Garten	Andreas-Hofer-Straße	1		39010		Gargazon	Italy	Europe	+39-0473-490880	office@biohotels.info	www.biohotels.info	53	4S	46.58403484050526	11.206357777118683
Frühstückspension & Ferienwohnungen	Kreuzweger Hof	Andreas-Hofer-Straße	2		39010		Nals	Italy	Europe	+39-0471-678646	info@kreuzwegerhof-nals.it	www.kreuzwegerhof-nals.it	7	3	46.54290639823254	11.202513964279206
Garni	Stamserhof	Andreas-Hofer-Straße	17		39010		Nals	Italy	Europe	+39-0471-678081	garnistamser@hotmail.com	www.pension-stamserhof.com	12	2	46.54059855071666	11.204413175582886
Alpine Spa Resort	Viktoria	Falzebener Straße	9		39010		Hafling	Italy	Europe	+39-0473-279422	info@hotel-viktoria.com	www.hotel-viktoria.com	33	4	46.651463319742184	11.214510351419449
Genießerhotel	Mirabell	Falzebener Straße	112		39010		Hafling	Italy	Europe	+39-0473-279300	info@belvita.it	www.belvita.it	54	4S	46.656471046158	11.22121587395668
Urlaub am Bauernhof	Schildhof Granstein	Gransteinweg	2		39010	Saltaus	St. Martin in Passeier	Italy	Europe	+39-0473-645436	info@gallorosso.it	www.gallorosso.it	3		46.744	11.20198
Bed & Breakfast	Trübenbach	Hocheppaner Weg	11		39010		Andrian	Italy	Europe	+39-0471-510049	truebenbach@rolmail.net	www.truebenbach-andrian.it	9	2	46.5133631	11.2301209
Gasthof	Zum Hirschen	Malgasott	2		39010	Unsere Liebe Frau im Walde	Unsere Liebe Frau im Walde-St. Felix	Italy	Europe	+39-0463-886105	info@zumhirschen.com	www.zumhirschen.com	32	3	46.51149	11.10956
Spa & Wellness Resort	Quellenhof	Passeirerstraße	47-45/A	SS 44	39010	Ried	St. Martin in Passeier	Italy	Europe	+39-0473-645474	info@belvita.it	www.belvita.it	150	5	46.74687860697168	11.20677173115837
Almhütte	Kiendl-Alm	Piffing			39010	Falzeben	Hafling	Italy	Europe	+39-0473-234602	info@hotel-kiendl.com	www.hotel-kiendl.com	1		46.6845	11.27144
Hotel	Tirolensis	Prissian	75/A		39010	Fraktion Prissian	Tisens	Italy	Europe	+39-0473-920901	info@mondiholiday.de	www.mondiholiday.de	55	4	46.55590379181383	11.178052425384521
Hotel-Pension	Sonnegg	Saltnerweg	1		39010	Saltaus	St. Martin in Passeier	Italy	Europe	+39-0473-645478	info@pension-sonnegg.com	www.pension-sonnegg.com	15	3	46.7295409752343	11.197187304496765
Landgasthof	Schwarzer Adler	St.-Urban-Platz	4		39010		Andrian	Italy	Europe	+39-0471-510288	info@schwarzeradler-andrian.net	www.schwarzeradler-andrian.net	15	3	46.5189111	11.2336116
Garni	Köfele	Braunsbergweg	14		39011		Lana an der Etsch	Italy	Europe	+39-0473-422985	info@garni-koefele.it	www.garni-koefele.it	9	2	46.6179737	11.1413897
Genusshotel	Pfeiss	Feldgatterweg	16		39011		Lana an der Etsch	Italy	Europe	+39-0473-561395	info@pfeiss.com	www.pfeiss.com	21	4	46.61217156686933	11.16835355758667
Hotel	Waldhof & Dependance	Mayenburgstraße	32		39011	Fraktion Völlan	Lana an der Etsch	Italy	Europe	+39-0473-568081	info@waldhof.net	www.waldhof.net	43	4	46.59292509621757	11.147298216819763
Resort	Alpiana	Probst-Wieser-Weg	30		39011	Fraktion Völlan	Lana an der Etsch	Italy	Europe	+39-0473-568033	info@belvita.it	www.belvita.it	45	4S	46.59148446877528	11.144941092061345
Hotel	Schwarzschmied	Schmiedgasse	6		39011		Lana an der Etsch	Italy	Europe	+39-0473-562800	schwarzschmied@dnet.it	www.schwarzschmied.com	30	3	46.61419164435072	11.148452461202396
Ferienwohnung	Cavour - Maia Alta	Camillo-Benso-Conte-di-Cavour-Straße	50		39012		Meran	Italy	Europe	+39-371-1985442	info@holidayhousemerano.com	www.holidayhousemerano.com	1		46.66899014050532	11.168618689700452
Grandhotel	Grand Palace - Espace Henri Chenot Merano	Camillo-Benso-Conte-di-Cavour-Straße	2-4		39012	Burggrafenamt	Meran	Italy	Europe	+39-0473-271000	info@palace.it	www.palace.it	130	5	46.66765	11.16539
Hotel	Ansitz Plantitscherhof	Dante-Alighieri-Straße	56		39012	Obermais	Meran	Italy	Europe	+39-0473-230577	info@plantitscherhof.com	www.ansitz-plantitscherhof.com	35	4	46.66470369766056	11.176939308643341
Hotel	Sittnerhof	Giuseppe-Verdi-Straße	58		39012		Meran	Italy	Europe	+39-0473-446331	info@sittnerhof.it	www.sittnerhof.it	42	4	46.68049689382683	11.155735552529222
Urlaub auf dem Bauernhof	Sittnerhof	Giuseppe-Verdi-Straße	60		39012		Meran	Italy	Europe	+39-0473-221631	info@bauernhofurlaub.it	www.bauernhofurlaub.it	6		46.68049689382683	11.155735552529222
Hotel	Burggräflerhof	Haslerweg	11		39012		Meran	Italy	Europe	+39-0473-230034	info@burggraeflerhof.net	www.burghof.suedtirol.net	38	4	46.67388953439021	11.183449029922485
Hotel & SPA	Adria	Hermann-Gilm-Weg	2		39012	Obermais	Meran	Italy	Europe	+39-0473-236610	info@dimoredepoca.it	www.dimoredepoca.it	48	4	46.67079021605075	11.171668767929077
Residence	Diana	Hermann-Gilm-Weg	8		39012	Obermais	Meran	Italy	Europe	+39-0473-236725	info@app-diana.it	www.app-diana.it	14	2	46.67024	11.17154
Park Hotel	Mignon	Karl-Grabmayr-Straße	5		39012		Meran	Italy	Europe	+39-0473-230353	contact@slh.com	www.slh.com	50	5	46.66729461963415	11.16634726524353
Hotel, Residence & Ferienwohnungen	Désirée	Otto-Huber-Straße	19		39012		Meran	Italy	Europe	+39-0473-449564	info@desireemeran.com	www.desireemeran.com	20	3	46.67367032217409	11.156374215570395
Ferienwohnung	Piave - Terme	Piavestraße	50		39012		Meran	Italy	Europe	+39-371-1985442	info@holidayhousemerano.com	www.holidayhousemerano.com	1		46.667785	11.158717
Hotel Pension	Verdorfer	Schennastraße	47		39012		Meran	Italy	Europe	+39-0473-232492	info@hotel-verdorfer.it	www.hotel-verdorfer.it	13	3	46.6708764	11.1866202
Hotel	Therme Meran	Thermenplatz	1		39012		Meran	Italy	Europe	+39-0473-259000	info@hotelthermemeran.it	www.hotelthermemeran.it	163	4S	46.669278037601245	11.160430312156677
Golf & Spa Resort	Andreus	Kellerlahne	3a		39015		St. Leonhard in Passeier	Italy	Europe	+39-0473-491330	info@andreus.it	www.andreus.it	79	5	46.771008235155385	11.22351586818695
Wellness & Sportresort	Stroblhof	Passeirer Straße	28/29		39015		St. Leonhard in Passeier	Italy	Europe	+39-0473-656128	info@stroblhof.com	www.stroblhof.com	111	4	46.811462232916824	11.24713808298111
All Suites Hotel	Andreus Golf Lodge	Prantacherweg	3		39015		St. Leonhard in Passeier	Italy	Europe	+39-0473-491330	info@andreus-resorts.it	www.andreus-resorts.it	30	5	46.7789485	11.2285889
Erlebnishotel	Waltershof	St. Nikolaus	59	Dorf 59	39016	Sankt Nikolaus	Ulten	Italy	Europe	+39-0473-790144	info@waltershof.it	www.waltershof.it	31	4	46.511872747624956	10.924261808395386
Resort Hotel	Rosengarten - Schenna Resort	Alte Straße	2		39017		Schenna	Italy	Europe	+39-0473-230760	info@schennaresort.com	www.schennaresort.com	40	4S	46.67670158867844	11.18857741355896
Resort Hotel	Mitterplatt - Schenna Resort	Alte Straße	6		39017		Schenna	Italy	Europe	+39-0473-234218	info@schennaresort.com	www.schennaresort.com	22	4	46.675987546869436	11.18781566619873
Resort Hotel	Schwefelbad - Schenna Resort	Alte Straße	14		39017		Schenna	Italy	Europe	+39-0473-230760	info@schennaresort.com	www.schennaresort.com	40	4S	46.67665742141763	11.18782639503479
Garni	Gasserhof	Gosseranger	8		39017	Verdins	Schenna	Italy	Europe	+39-0473-945407	info@gasserhof.info	www.gasserhof.info	11	2	46.6911111	11.1873518
Gästehaus	Plunerhof	Goyenweg	1		39017		Schenna	Italy	Europe	+39-0473-211127	pluner@schenna.com	www.pluner.schenna.com	5		46.675347109591755	11.190894842147827
Urlaub auf dem Bauernhof	Gassbauerhof	Goyenweg	10		39017		Schenna	Italy	Europe	+39-0473-235272	info@gallorosso.it	www.roterhahn.it	4		46.67694	11.19078
Berggasthof	Gsteier	Gsteierer Weg	56	Via Alpina (Gelber Weg)	39017		Schenna	Italy	Europe	+39-0473-235062	info@hohenwart.com	www.hohenwart.com	8	2	46.67701	11.23193
Family Hotel	Gutenberg	Ifinger Straße	14		39017		Schenna	Italy	Europe	+39-0473-945950	info@familienhotels.com	www.familienhotels.com	31	4	46.69641005766727	11.194920244180366
Appartement-Residence	Tschivon	Kirchweg	7		39017		Schenna	Italy	Europe	+39-0473-945714	tschivon@schenna.com	www.appartement-schenna.com	23	2	46.689589525101184	11.18483304977417
Pension garni	Eichenhof	Mitlechn	6	Localita' Gosseranger	39017	Verdins	Schenna	Italy	Europe	+39-0473-945477	info@eichenhof-royal.it	www.eichenhof-royal.it	16	2	46.7121825	11.1779492
Hotel	Eschenlohe	Mitterplattweg	55	off Schennastraße	39017	Mitterplatt	Schenna	Italy	Europe	+39-0473-945724	info@eschenlohe.it	www.eschenlohe.it	36	3S	46.67976376407473	11.187289953231812
Gasthaus	Hochwies	Obertall	18		39017	Obertall	Schenna	Italy	Europe	+39-0473-949462	info@hochwies.com	www.hochwies.com	10	2	46.7094653	11.2412336
Gasthof	Klammeben	Obertall	66		39017	Obertall	Schenna	Italy	Europe	+39-0473-949422			4	1	46.73812	11.24706
Gasthof	Grube	Obertall	69		39017	Obertall	Schenna	Italy	Europe	+39-0473-949404	info@gasthofgrube.com	www.gasthofgrube.com	10	1	46.7094653	11.2412336
Pension	Verdinserhöhe	Oberverdins	1		39017	Verdins - Oberverdins	Schenna	Italy	Europe	+39-0473-949429	info@verdinserhoehe.com	www.verdinserhoehe.com	14	3	46.71236222413529	11.209444999694824
Appartements	Verdinserhöhe	Oberverdins	1		39017		Schenna	Italy	Europe	+39-0473-949429	info@verdinserhoehe.com	www.verdinserhoehe.com	4		46.71235118961246	11.209466457366943
Pension garni & Ferienwohnungen	Mitterhofer	Oberverdinser Straße	24		39017	Verdins	Schenna	Italy	Europe	+39-0473-949415	info@pension-mitterhofer.com	www.pension-mitterhofer.com	17	3	46.71208	11.20924
Naturhotel Residence	Gruberhof	Oberverdinser Straße	49	Oberverdins 2	39017	Verdins	Schenna	Italy	Europe	+39-0473-949465	gruberhof@schenna.com	www.gruberhof-schenna.com	15	4	46.71402	11.20885
Hotel garni	Sunnwies	Pichlerstraße	1		39017		Schenna	Italy	Europe	+39-0473-945613	info@sunnwies.com	www.sunnwies.com	38	4	46.68624823088081	11.18932843208313
Hotel garni	Fernblick	Pichlerstraße	4		39017		Schenna	Italy	Europe	+39-0473-945873	fernblick@schenna.com	www.fernblick-hoefler.com	19	3	46.68654262633967	11.190347671508789
Pension	Laurin	Pichlerstraße	11		39017		Schenna	Italy	Europe	+39-0473-945719	laurin@schenna.com	www.pension-laurin.com	15	3	46.68807787270192	11.190753221380874
Hotel	Pichler	Pichlerstraße	32		39017		Schenna	Italy	Europe	+39-0473-945614	info@hotelpichler.com	www.hotelpichler.com	10	3	46.6898663	11.1945303
Garni	Gloria Dei	Pichlerstraße	17/B		39017		Schenna	Italy	Europe	+39-0473-945732	gloria.dei@schenna.com	www.gloriadei.schenna.com	22	2	46.6898663	11.1945303
Residence	Nelkenstein	Pichlerstraße	2/B		39017		Schenna	Italy	Europe	+39-0473-945732	info@nelkenstein.com	www.nelkenstein.com	11	3	46.686285030400924	11.189296245574951
Residence	Haus Fiegl	Rothalerweg	1		39017		Schenna	Italy	Europe	+39-0473-946011	info@fiegl.it	www.fiegl.it	4	2	46.691319704428025	11.184876859624637
Gasthof-Restaurant-Pension	Hasenegg	Schennaberg	2	NAVI: Oberverdinserstraße	39017		Schenna	Italy	Europe	+39-0473-949419	info@hasenegg.it	www.gasthof-hasenegg.com	7	2	46.70808	11.21379
Chalets	Mountain Village Hasenegg	Schennaberg	2		39017		Schenna	Italy	Europe	+39-0473-949419	info@hasenegg.it	www.hasenegg.it			46.70808	11.21379
Gasthof Pension Café	Greitererhof	Schennaberg	11		39017	Oberdorf	Schenna	Italy	Europe	+39-0473-945976	info@greitererhof.it	www.greitererhof.it	6	2	46.7094653	11.2412336
Hotel	Christoph's	Schennastraße	2		39017		Schenna	Italy	Europe	+39-0473-945877	info@christophshotel-schenna.com	www.christophshotel-schenna.com	27	3S	46.68953984878224	11.187922954559326
Hotel Restaurant	Schennerhof	Schennastraße	3		39017		Schenna	Italy	Europe	+39-0473-945623	info@schennerhof.com	www.schennerhof.com	35	3	46.68900996520412	11.187906861305237
Hotel garni	Katnau	Schennastraße	7		39017		Schenna	Italy	Europe	+39-0473-945656	info@katnau.com	www.katnau.com	25	3	46.68760243670698	11.188217997550964
Panoramahotel	Resmairhof	Schennastraße	11		39017		Schenna	Italy	Europe	+39-0473-945650	info@resmairhof.it	www.resmairhof.it	38	4S	46.6871424521223	11.188711524009705
Residence	Maritsch-Hof	Schennastraße	13		39017		Schenna	Italy	Europe	+39-0473-945705	maritschhof@rolmail.net	www.maritschhof.com	18	3	46.6694187	11.1787261
Klimaresidence	Mittendorf	Schennastraße	14		39017		Schenna	Italy	Europe	+39-0473-945758	mittendorf@schenna.com	www.mittendorf.schenna.com	8	3	46.686469027625385	11.188931465148926
Hotel Restaurant	Tannerhof	Schennastraße	20		39017		Schenna	Italy	Europe	+39-0473-943229	info@tannerhof-schenna.com	www.tannerhof-schenna.com	14	3	46.68581980931049	11.188867092132568
Inklusivhotel	Taushof	Schennastraße	30		39017		Schenna	Italy	Europe	+39-0473-944333	info@taushof.com	www.taushof.com	52	4	46.68454512170833	11.18885421739833
Garni & Apartments	Eckhardwies	Schennastraße	33		39017		Schenna	Italy	Europe	+39-0473-945715	eckhardwies@schenna.com	www.eckhardwies.schenna.com	17	3	46.68358869067743	11.189650201388531
Appartements	Dornach	Schennastraße	37		39017		Schenna	Italy	Europe	+39-0473-945543	info@dornach.it	www.dornach.it	6	3	46.68345507414437	11.188888549804688
Garni	Dornach	Schennastraße	39		39017		Schenna	Italy	Europe	+39-0473-945543	info@dornach.it	www.dornach.it	16	3	46.683451394000706	11.188802719116211
Hotel	Der Weinmesser	Schennastraße	41		39017		Schenna	Italy	Europe	+39-0473-945660	info@vinumhotels.com	www.quality-hotels.it	30	4	46.6853576748503	11.188641786575316
Hotel	Astor	Schennastraße	47		39017		Schenna	Italy	Europe	+39-0473-946004	info@astorhotel.info	www.astorhotel.info	29	3	46.681037165733414	11.189242601394653
Hotel garni	Walter	Schennastraße	49		39017		Schenna	Italy	Europe	+39-0473-945666	info@hotel-walter.it	www.hotel-walter.it	29	3S	46.68090549234746	11.189169883473369
Hotel	Kröll	Schennastraße	50		39017		Schenna	Italy	Europe	+39-0473-945650	info@hotel-kroell-schenna.com	www.hotel-kroell-schenna.com	30	3	46.6802769	11.189092
Ferienwohnungen	Kröll	Schennastraße	50		39017		Schenna	Italy	Europe	+39-0473-945755	info@hotel-kroell-schenna.com	www.hotel-kroell-schenna.com	4		46.6802769	11.189092
Hotel	Lagrein	Schennastraße	54		39017		Schenna	Italy	Europe	+39-0473-945781	info@hotellagrein.it	www.hotellagrein.it		4	46.6802769	11.189092
Luxus Chalet	Villa Dorothee	Schennastraße	63		39017		Schenna	Italy	Europe	+39-339-5406168	info@villadorothee.com	www.villadorothee.com	2	3	46.673868932028874	11.190656888638273
Hotel Garni	Nachtigall	Schennastraße	37/B		39017		Schenna	Italy	Europe	+39-0473-945865	info@nachtigall.it	www.nachtigall.it	18	3	46.68304657666717	11.18905484676361
Ferienwohnungen	Andreas Hofer	Schennastraße	40/B		39017		Schenna	Italy	Europe	+39-0473-945714	andreashofer@schenna.com	www.appartement-schenna.com	15	3	46.68025399050773	11.189022660255432
Apartments	Der Blaue Reiter	Schennastraße	40/B		39017		Schenna	Italy	Europe	+39-0473-945714	andreashofer@schenna.com	www.appartement-schenna.com	5	3	46.683937170796895	11.18809461593628
Apartmenthotel	Ritterhof	Schennastraße	41/B		39017		Schenna	Italy	Europe	+39-0473-945850	ritterhof@schenna.com	www.ritterhof-schenna.com	15	4	46.682768723014526	11.189548373222351
Hotel Restaurant	Schloßwirt	Schloßweg	2		39017		Schenna	Italy	Europe	+39-0473-945620	info@marketingfactory.it	www.goodfeelinghotels.com	33	4	46.69053152664943	11.187303364276886
Hotel	Erzherzog Johann	Schloßweg	19		39017		Schenna	Italy	Europe	+39-0473-945825	info@vitalpina.info	www.vitalpina.info	44	4	46.69287909964004	11.187783479690552
Apartment	Locherhäusl	St.-Georgener-Straße	2		39017	St. Georgen	Schenna	Italy	Europe				1		46.68584277010921	11.190576100068256
Hotel garni	Lichtenau	St.-Georgener-Straße	3		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945752	info@lichtenau.com	www.lichtenau.com	35	3	46.685972969720304	11.190699577200576
Garni Appartments	Nunnemairhof	St.-Georgener-Straße	9		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945729	info@nunnemairhof.com	www.nunnemairhof.com	2	3	46.6710751	11.1705329
Apartments	Hammele	St.-Georgener-Straße	17		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-943627	apartments@obertaberhof.it	www.obertaberhof.it		3	46.6843	11.19399
Pension garni	Obertaberhof	St.-Georgener-Straße	19		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945740	obertaberhof@obertaberhof.it	www.obertaberhof.it	16	3	46.6843	11.19399
Apartments	Haus Hohenrain	St.-Georgener-Straße	22		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945625	info@hohenrain.com	www.hohenrain.com	4	2	46.6824	11.19229
Hotel garni	Ehrenfels	St.-Georgener-Straße	31		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945725	ehrenfels@schenna.com	www.ehrenfels.info	12	3	46.68042623111081	11.19283676147461
Garni	Mühlhaus	St.-Georgener-Straße	34		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945716	muehlhaus@schenna.com	www.muehlhaus.schenna.com	12	2	46.6729296	11.1723927
Pension	Chalet Andy	St.-Georgener-Straße	37		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945795	info@chalet-andy.com	www.chalet-andy.com	12	3	46.68094589405684	11.197391152381897
Frühstückspension	Gurterhof	St.-Georgener-Straße	38		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945733	info@gurterhof.com	www.gurterhof.com	14	3	46.68114757486801	11.196978092193604
Frühstückspension	Köstholzerhof	St.-Georgener-Straße	39		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945775	info@koestholzerhof.com	www.koestholzerhof.com	9	3	46.6712397	11.1732399
Hotel	Moserhof	St.-Georgener-Straße	40		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945688	info@moserhof.it	www.moserhof.it	17	3	46.683473474858914	11.198469400405884
Urlaub auf dem Bauernhof	Außersalfnerhof	St.-Georgener-Straße	52		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945553	info@aussersalfnerhof.com	www.aussersalfnerhof.com			46.6836643	11.198411599999986
Gasthof - Pension - Urlaub auf dem Bauernhof	Rastlhof	St.-Georgener-Straße	54		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945657	info@rastlhof.com	www.rastlhof.com	19	3	46.68429929256576	11.189377785776742
Urlaub auf dem Bauernhof	Beim Dorner	St.-Georgener-Straße	22/C		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945461		www.roterhahn.it	4		46.6825534314534	11.192665100097656
Garni	Kleefeld	St.-Georgener-Straße	29/B		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945753	kleefeld@schenna.com	www.kleefeld.schenna.com	3	3	46.670995	11.1714828
Residence	Haus Dornsberg	St.-Georgener-Straße	32/B		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945957	info@dornsberg.net	www.dornsberg.net	14	3	46.68039	11.19226
Hotel	Graf Hartwig	St.-Georgener-Straße	38/B		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945708	grafhartwig@schenna.com	www.grafhartwig.schenna.com	12	3S	46.680786904193226	11.196784973144531
Hotel	Hilburger	St.-Georgener-Straße	4/B		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945754	hotel@hilburger.it	www.hilburger.it	45	4	46.68396661167446	11.192235946655273
Urlaub auf dem Bauernhof	Außerflarerhof	St.-Georgener-Straße	50/A		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945553	info@gruenwalderhof.com	www.gruenwalderhof.com	3		46.6792847	11.201444
Hotel	Grünwalderhof	St.-Georgener-Straße	50/B		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945748	info@gruenwalderhof.com	www.gruenwalderhof.com	25	3S	46.67844371264897	11.201003193418728
Urlaub auf dem Bauernhof	Kampfl-Hof	St.-Georgener-Straße	6/A		39017	St. Georgen	Schenna	Italy	Europe	+39-0473-945607	info@kampflhof-schenna.com	www.kampflhof-schenna.com	4		46.68376472049179	11.192295364417987
Hotel garni	Fürstenhof	Verdins	48		39017	Verdins	Schenna	Italy	Europe	+39-0473-949451	info@fuerstenhof.net	www.meranerland-hotels.com	45	4	46.711260232073485	11.205020427441923
Pension garni	Klotznerhof	Verdins Gosseranger	4		39017	Verdins	Schenna	Italy	Europe	+39-0473-949460	info@klotznerhof.com	www.klotznerhof.com	14	2	46.71200176188909	11.204080581665039
Hotel & Spa-Resort	Hohenwart	Verdinserstraße	5		39017	Verdins	Schenna	Italy	Europe	+39-0473-944400	info@belvita.it	www.belvita.it	90	4S	46.688724782654475	11.188942193984985
Hotel garni	Ifinger	Verdinserstraße	18		39017	Verdins	Schenna	Italy	Europe	+39-0473-945640	info@hotel-ifinger.it	www.hotel-ifinger.it	45	4	46.69392406796201	11.190100908279419
Hotel garni	Mitlechnerhof	Verdinserstraße	20		39017	Verdins	Schenna	Italy	Europe	+39-0473-945428	info@mitlechnerhof.com	www.hotel-mitlechnerhof.com	27	3	46.7141203626227	11.206601858139038
Urlaub auf dem Bauernhof	Gröberhof	Verdinserstraße	40		39017	Verdins	Schenna	Italy	Europe	+39-0473-945858	groeberhof@schenna.com	www.groeberhof.com	6		46.70239508789605	11.199439762858674
Panoramahotel	Sonnenparadies	Verdinserstraße	41		39017	Verdins	Schenna	Italy	Europe	+39-0473-945676	info@sonnen-paradies.it	www.sonnen-paradies.it	39	4	46.70298942328774	11.200207471847534
Urlaub auf dem Bauernhof	Gattererhof	Verdinserstraße	50		39017	Verdins	Schenna	Italy	Europe	+39-0473-949734	info@gallorosso.it	www.roterhahn.it	4		46.70724279065124	11.202473159065676
Pension garni	Südtiroler Hof	Verdinserstraße	7/A		39017	Verdins	Schenna	Italy	Europe	+39-0473-945603	info@suedtirolerhof.it	www.suedtirolerhof.it	19	3	46.69014160375268	11.188885331284837
Residence	Außerknappen	Verdinserstraße	7/A		39017	Verdins	Schenna	Italy	Europe	+39-0473-945603	info@suedtirolerhof.it	www.suedtirolerhof.it	4	2	46.6901848	11.188586
Garni	Dürrenstein	Verdinserstraße	7/B		39017	Verdins	Schenna	Italy	Europe	+39-0473-945808	info@duerrenstein.com	www.duerrenstein.com	9	2	46.69003256189144	11.188888549804688
Residence	Unterthurner	Vorlandweg	8		39017		Schenna	Italy	Europe	+39-0473-945610	tyrol@schenna.com	www.hotel-tyrol-schenna.com	5	3	46.683573016095515	11.190704576721146
Pension garni	Zur Vogelweide	Vorlandweg	9		39017		Schenna	Italy	Europe	+39-0473-945686			10	2	46.6642959	11.1755525
Hotel	Klarnerhof	Vorlandweg	12		39017		Schenna	Italy	Europe	+39-0473-945988	info@klarnerhof.com	www.klarnerhof.com	24	3	46.68317	11.19051
Appartments	Wieser	Wiesenweg	1		39017		Schenna	Italy	Europe	+39-0473-945700	wieser@schenna.com	www.wieser.schenna.com	2	3	46.68969	11.1884
Gästehaus	Wiesegg	Wiesenweg	7		39017		Schenna	Italy	Europe	+39-0473-2030433	b.wiesegg@gmail.com	www.wiesegg.it	5		46.68969	11.1884
Hotel garni	Schönbrunn	Aichweg	2		39019		Tirol	Italy	Europe	+39-0473-923371	info@schoenbrunn-tirol.com	www.schoenbrunn-tirol.com	10	3	46.6890098	11.1635298
Garni	Tallnerhof	Aichweg	19		39019		Tirol	Italy	Europe	+39-0473-923390	info@tallnerhof.it	www.tallnerhof.it	8	2	46.6890098	11.1635298
Pension garni	Anita	Aichweg	20		39019		Tirol	Italy	Europe	+39-0473-923375	garni-anita@rolmail.net	www.garni-anita.it	8	2	46.6890098	11.1635298
Appartementhaus Residence	Hirzer	Aichweg	24		39019		Tirol	Italy	Europe	+39-0473-923420	tirol@hirzer-suedtirol.com	www.hirzer-suedtirol.com	32	3	46.68866222628094	11.16037130355835
Hotel Appartement	Inge	Aichweg	27		39019		Tirol	Italy	Europe	+39-0473-923419	info@hotel-inge.com	www.hotel-inge.com	28	3	46.68882119296854	11.161546111106873
Hotel Landsitz	Stroblhof	Aichweg	28/29		39019		Tirol	Italy	Europe	+39-0473-923123	info@landsitz-stroblhof.it	www.landsitz-stroblhof.it	45	4	46.68834576351619	11.162205934524536
Garni Hotel & Residence	Rebhof	Haslachstraße	26		39019		Tirol	Italy	Europe	+39-0473-923438	info@rebhof.com	www.rebhof.it	9	3	46.6946983	11.1543331
Pension	Tritscherhof	Haslachstraße	32		39019		Tirol	Italy	Europe	+39-0473-923406			17	3	46.6937916083079	11.153837442398071
Hotel	Der Küglerhof	Haslachstraße	82		39019		Tirol	Italy	Europe	+39-0473-923399	info@kueglerhof.it	www.kueglerhof.it	35	4S	46.70000214478379	11.157581806182861
